"","symbol","entrez","entrez_mouse","symbol_mouse"
"354","KIF1A","547","16560","Kif1a"
"355","AUH","549","11992","Auh"
"356","AUP1","550","11993","Aup1"
"357","AVP","551","11998","Avp"
"358","AVPR1A","552","54140","Avpr1a"
"359","AVPR1B","553","26361","Avpr1b"
"360","AVPR2","554","12000","Avpr2"
"361","AXL","558","26362","Axl"
"362","AZGP1","563","12007","Azgp1"
"363","B2M","567","12010","B2m"
"364","BAAT","570","12012","Baat"
"365","BACH1","571","12013","Bach1"
"366","BAD","572","12015","Bad"
"367","BAG1","573","12017","Bag1"
"368","ADGRB1","575","107831","Adgrb1"
"369","ADGRB2","576","230775","Adgrb2"
"370","ADGRB3","577","210933","Adgrb3"
"371","BAK1","578","12018","Bak1"
"372","NKX3-2","579","12020","Nkx3-2"
"373","BARD1","580","12021","Bard1"
"374","BAX","581","12028","Bax"
"375","BBS1","582","52028","Bbs1"
"376","BBS2","583","67378","Bbs2"
"377","BBS4","585","102774","Bbs4"
"378","BCAT1","586","12035","Bcat1"
"379","BCAT2","587","12036","Bcat2"
"380","BCHE","590","12038","Bche"
"381","BCKDHA","593","12039","Bckdha"
"382","BCKDHB","594","12040","Bckdhb"
"383","CCND1","595","12443","Ccnd1"
"384","BCL2","596","12043","Bcl2"
"385","BCL2A1","597","12044","Bcl2a1a"
"386","BCL2L1","598","12048","Bcl2l1"
"387","BCL2L2","599","12050","Bcl2l2"
"388","BCL3","602","12051","Bcl3"
"389","BCL6","604","12053","Bcl6"
"390","BCL7A","605","77045","Bcl7a"
"391","BCL9","607","77578","Bcl9"
"392","TNFRSF17","608","21935","Tnfrsf17"
"393","HCN2","610","15166","Hcn2"
"394","OPN1SW","611","12057","Opn1sw"
"395","BCR","613","110279","Bcr"
"396","BCS1L","617","66821","Bcs1l"
"397","BDH1","622","71911","Bdh1"
"398","BDKRB1","623","12061","Bdkrb1"
"399","BDKRB2","624","12062","Bdkrb2"
"400","BDNF","627","12064","Bdnf"
"401","CFB","629","14962","Cfb"
"402","BFSP1","631","12075","Bfsp1"
"403","BGLAP","632","12095","Bglap3"
"404","BGN","633","12111","Bgn"
"405","CEACAM1","634","26365","Ceacam1"
"406","BHMT","635","12116","Bhmt"
"407","BICD1","636","12121","Bicd1"
"408","BID","637","12122","Bid"
"409","BIK","638","12124","Bik"
"410","PRDM1","639","12142","Prdm1"
"411","BLK","640","12143","Blk"
"412","BLM","641","12144","Blm"
"413","BLMH","642","104184","Blmh"
"414","CXCR5","643","12145","Cxcr5"
"415","BLVRA","644","109778","Blvra"
"416","BLVRB","645","233016","Blvrb"
"417","BNC1","646","12173","Bnc1"
"418","BMP1","649","12153","Bmp1"
"419","BMP2","650","12156","Bmp2"
"420","BMP3","651","110075","Bmp3"
"421","BMP4","652","12159","Bmp4"
"422","BMP5","653","12160","Bmp5"
"423","BMP6","654","12161","Bmp6"
"424","BMP7","655","12162","Bmp7"
"425","BMPR1A","657","12166","Bmpr1a"
"426","BMPR1B","658","12167","Bmpr1b"
"427","BMPR2","659","12168","Bmpr2"
"428","BMX","660","12169","Bmx"
"429","POLR3D","661","67065","Polr3d"
"430","BNIP1","662","224630","Bnip1"
"431","BNIP2","663","12175","Bnip2"
"432","BNIP3","664","12176","Bnip3"
"433","BNIP3L","665","12177","Bnip3l"
"434","BOK","666","51800","Bok"
"435","FOXL2","668","26927","Foxl2"
"436","BPGM","669","12183","Bpgm"
"437","BPHL","670","68021","Bphl"
"438","BPI","671","329547","Bpi"
"439","BRCA1","672","12189","Brca1"
"440","BRAF","673","109880","Braf"
"441","BRCA2","675","12190","Brca2"
"442","BRDT","676","114642","Brdt"
"443","ZFP36L1","677","12192","Zfp36l1"
"444","ZFP36L2","678","12193","Zfp36l2"
"445","BRS3","680","12209","Brs3"
"446","BSG","682","12215","Bsg"
"447","BST1","683","12182","Bst1"
"448","BTC","685","12223","Btc"
"449","BTD","686","26363","Btd"
"450","KLF9","687","16601","Klf9"
"451","KLF5","688","12224","Klf5"
"452","BTF3","689","218490","Btf3"
"453","BTG1","694","12226","Btg1"
"454","BTK","695","12229","Btk"
"455","BTN1A1","696","12231","Btn1a1"
"456","BUB1","699","12235","Bub1"
"457","BUB1B","701","12236","Bub1b"
"458","BYSL","705","53414","Bysl"
"459","TSPO","706","12257","Tspo"
"460","C1QBP","708","12261","C1qbp"
"461","SERPING1","710","12258","Serping1"
"462","C1QA","712","12259","C1qa"
"463","C1QB","713","12260","C1qb"
"464","C1QC","714","12262","C1qc"
"465","C1R","715","50909","C1ra"
"466","C1S","716","50908","C1s1"
"467","C2","717","12263","C2"
"468","C3","718","12266","C3"
"469","C3AR1","719","12267","C3ar1"
"470","C4B","721","12268","C4b"
"471","CAPN5","726","12337","Capn5"
"472","C5","727","15139","Hc"
"473","C5AR1","728","12273","C5ar1"
"474","C6","729","12274","C6"
"475","C7","730","109828","C7"
"476","C8A","731","230558","C8a"
"477","C8B","732","110382","C8b"
"478","C8G","733","69379","C8g"
"479","OSGIN2","734","209212","Osgin2"
"480","C9","735","12279","C9"
"481","VPS51","738","68505","Vps51"
"482","MRPL49","740","18120","Mrpl49"
"483","ZNHIT2","741","29805","Znhit2"
"484","MPPED2","744","77015","Mpped2"
"485","MYRF","745","225908","Myrf"
"486","TMEM258","746","69038","Tmem258"
"487","DAGLA","747","269060","Dagla"
"488","LDLRAD4","753","52662","Ldlrad4"
"489","PTTG1IP","754","108705","Pttg1ip"
"490","C21orf2","755","67884","1810043G02Rik"
"491","TMEM50B","757","77975","Tmem50b"
"492","MPPED1","758","223726","Mpped1"
"493","CA1","759","12346","Car1"
"494","CA2","760","12349","Car2"
"495","CA3","761","12350","Car3"
"496","CA4","762","12351","Car4"
"497","CA5A","763","12352","Car5a"
"498","CA6","765","12353","Car6"
"499","CA7","766","12354","Car7"
"500","CA8","767","12319","Car8"
"501","CA9","768","230099","Car9"
"502","CA11","770","12348","Car11"
"503","CA12","771","76459","Car12"
"504","CACNA1A","773","12286","Cacna1a"
"505","CACNA1B","774","12287","Cacna1b"
"506","CACNA1C","775","12288","Cacna1c"
"507","CACNA1D","776","12289","Cacna1d"
"508","CACNA1E","777","12290","Cacna1e"
"509","CACNA1F","778","54652","Cacna1f"
"510","CACNA1S","779","12292","Cacna1s"
"511","DDR1","780","12305","Ddr1"
"512","CACNA2D1","781","12293","Cacna2d1"
"513","CACNB1","782","12295","Cacnb1"
"514","CACNB2","783","12296","Cacnb2"
"515","CACNB3","784","12297","Cacnb3"
"516","CACNB4","785","12298","Cacnb4"
"517","CACNG1","786","12299","Cacng1"
"518","SLC25A20","788","57279","Slc25a20"
"519","CAD","790","69719","Cad"
"520","CALB1","793","12307","Calb1"
"521","CALB2","794","12308","Calb2"
"522","S100G","795","12309","S100g"
"523","CALCB","797","12310","Calca"
"524","CALCR","799","12311","Calcr"
"525","CALML3","810","70405","Calml3"
"526","CALR","811","12317","Calr"
"527","CALU","813","12321","Calu"
"528","CAMK4","814","12326","Camk4"
"529","CAMK2A","815","12322","Camk2a"
"530","CAMK2B","816","12323","Camk2b"
"531","CAMK2D","817","108058","Camk2d"
"532","CAMK2G","818","12325","Camk2g"
"533","CAMLG","819","12328","Caml"
"534","CAMP","820","12796","Camp"
"535","CANX","821","12330","Canx"
"536","CAPG","822","12332","Capg"
"537","CAPN1","823","12333","Capn1"
"538","CAPN2","824","12334","Capn2"
"539","CAPN3","825","12335","Capn3"
"540","CAPNS1","826","12336","Capns1"
"541","CAPN6","827","12338","Capn6"
"542","CAPZA1","829","12340","Capza1"
"543","CAPZA2","830","12343","Capza2"
"544","CAST","831","12380","Cast"
"545","CAPZB","832","12345","Capzb"
"546","CARS","833","27267","Cars"
"547","CASP1","834","12362","Casp1"
"548","CASP2","835","12366","Casp2"
"549","CASP3","836","12367","Casp3"
"550","CASP4","837","12363","Casp4"
"551","CASP6","839","12368","Casp6"
"552","CASP7","840","12369","Casp7"
"553","CASP8","841","12370","Casp8"
"554","CASP9","842","12371","Casp9"
"555","CASQ1","844","12372","Casq1"
"556","CASQ2","845","12373","Casq2"
"557","CASR","846","12374","Casr"
"558","CAT","847","12359","Cat"
"559","CAV1","857","12389","Cav1"
"560","CAV2","858","12390","Cav2"
"561","CAV3","859","12391","Cav3"
"562","RUNX2","860","12393","Runx2"
"563","RUNX1","861","12394","Runx1"
"564","RUNX1T1","862","12395","Runx1t1"
"565","CBFA2T3","863","12398","Cbfa2t3"
"566","RUNX3","864","12399","Runx3"
"567","CBFB","865","12400","Cbfb"
"568","SERPINA6","866","12401","Serpina6"
"569","CBL","867","12402","Cbl"
"570","CBLB","868","208650","Cblb"
"571","CBLN1","869","12404","Cbln1"
"572","SERPINH1","871","12406","Serpinh1"
"573","CBR1","873","12408","Cbr1"
"574","CBR3","874","109857","Cbr3"
"575","CBS","875","12411","Cbs"
"576","CCIN","881","442829","Ccin"
"577","KYAT1","883","70266","Kyat1"
"578","CCK","885","12424","Cck"
"579","CCKAR","886","12425","Cckar"
"580","CCKBR","887","12426","Cckbr"
"581","KRIT1","889","79264","Krit1"
"582","CCNA2","890","12428","Ccna2"
"583","CCNB1","891","268697","Ccnb1"
"584","CCNC","892","51813","Ccnc"
"585","CCND2","894","12444","Ccnd2"
"586","CCND3","896","12445","Ccnd3"
"587","CCNE1","898","12447","Ccne1"
"588","CCNF","899","12449","Ccnf"
"589","CCNG1","900","12450","Ccng1"
"590","CCNG2","901","12452","Ccng2"
"591","CCNH","902","66671","Ccnh"
"592","CCNT1","904","12455","Ccnt1"
"593","CCNT2","905","72949","Ccnt2"
"594","CCT6A","908","12466","Cct6a"
"595","CD1D","912","12479","Cd1d1"
"596","CD2","914","12481","Cd2"
"597","CD3D","915","12500","Cd3d"
"598","CD3E","916","12501","Cd3e"
"599","CD3G","917","12502","Cd3g"
"600","CD247","919","12503","Cd247"
"601","CD4","920","12504","Cd4"
"602","CD5","921","12507","Cd5"
"603","CD5L","922","11801","Cd5l"
"604","CD6","923","12511","Cd6"
"605","CD7","924","12516","Cd7"
"606","CD8A","925","12525","Cd8a"
"607","CD8B","926","12526","Cd8b1"
"608","CD9","928","12527","Cd9"
"609","CD14","929","12475","Cd14"
"610","CD19","930","12478","Cd19"
"611","MS4A1","931","12482","Ms4a1"
"612","MS4A3","932","170813","Ms4a3"
"613","CD22","933","12483","Cd22"
"614","CD27","939","21940","Cd27"
"615","CD28","940","12487","Cd28"
"616","CD80","941","12519","Cd80"
"617","CD86","942","12524","Cd86"
"618","TNFRSF8","943","21941","Tnfrsf8"
"619","TNFSF8","944","21949","Tnfsf8"
"620","CD34","947","12490","Cd34"
"621","CD36","948","12491","Cd36"
"622","SCARB1","949","20778","Scarb1"
"623","SCARB2","950","12492","Scarb2"
"624","CD37","951","12493","Cd37"
"625","CD38","952","12494","Cd38"
"626","ENTPD1","953","12495","Entpd1"
"627","ENTPD2","954","12496","Entpd2"
"628","ENTPD6","955","12497","Entpd6"
"629","ENTPD3","956","215446","Entpd3"
"630","ENTPD5","957","12499","Entpd5"
"631","CD40","958","21939","Cd40"
"632","CD40LG","959","21947","Cd40lg"
"633","CD44","960","12505","Cd44"
"634","CD47","961","16423","Cd47"
"635","CD48","962","12506","Cd48"
"636","CD53","963","12508","Cd53"
"637","CD59","966","333883","Cd59b"
"638","CD63","967","12512","Cd63"
"639","CD68","968","12514","Cd68"
"640","CD69","969","12515","Cd69"
"641","CD70","970","21948","Cd70"
"642","CD72","971","12517","Cd72"
"643","CD74","972","16149","Cd74"
"644","CD79A","973","12518","Cd79a"
"645","CD79B","974","15985","Cd79b"
"646","CD81","975","12520","Cd81"
"647","ADGRE5","976","26364","Adgre5"
"648","CD151","977","12476","Cd151"
"649","CDA","978","72269","Cda"
"650","CDK1","983","12534","Cdk1"
"651","LRBA","987","80877","Lrba"
"652","CDC5L","988","71702","Cdc5l"
"653","SEPT7","989","235072","Sept7"
"654","CDC6","990","23834","Cdc6"
"655","CDC20","991","107995","Cdc20"
"656","CDC25A","993","12530","Cdc25a"
"657","CDC25B","994","12531","Cdc25b"
"658","CDC25C","995","12532","Cdc25c"
"659","CDC27","996","217232","Cdc27"
"660","CDC34","997","216150","Cdc34"
"661","CDH1","999","12550","Cdh1"
"662","CDH2","1000","12558","Cdh2"
"663","CDH3","1001","12560","Cdh3"
"664","CDH4","1002","12561","Cdh4"
"665","CDH5","1003","12562","Cdh5"
"666","CDH6","1004","12563","Cdh6"
"667","CDH7","1005","241201","Cdh7"
"668","CDH8","1006","12564","Cdh8"
"669","CDH9","1007","12565","Cdh9"
"670","CDH10","1008","320873","Cdh10"
"671","CDH11","1009","12552","Cdh11"
"672","CDH12","1010","215654","Cdh12"
"673","CDH13","1012","12554","Cdh13"
"674","CDH15","1013","12555","Cdh15"
"675","CDH16","1014","12556","Cdh16"
"676","CDH17","1015","12557","Cdh17"
"677","CDH18","1016","320865","Cdh18"
"678","CDK2","1017","12566","Cdk2"
"679","CDK4","1019","12567","Cdk4"
"680","CDK5","1020","12568","Cdk5"
"681","CDK6","1021","12571","Cdk6"
"682","CDK7","1022","12572","Cdk7"
"683","CDK8","1024","264064","Cdk8"
"684","CDK9","1025","107951","Cdk9"
"685","CDKN1A","1026","12575","Cdkn1a"
"686","CDKN1B","1027","12576","Cdkn1b"
"687","CDKN2A","1029","12578","Cdkn2a"
"688","CDKN2B","1030","12579","Cdkn2b"
"689","CDKN2C","1031","12580","Cdkn2c"
"690","CDKN2D","1032","12581","Cdkn2d"
